TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,23,19,2,0,4974,76
1,23,20,2,0,5226,76
1,23,21,2,0,5487,76
1,24,1,2,0,313,79
1,24,2,2,0,582,79
1,24,3,2,0,852,79
1,24,4,2,0,1112,79
1,24,5,2,0,1383,79
1,24,6,2,0,1640,79
1,24,7,2,0,1913,79
1,24,8,2,0,2173,79
1,24,9,2,0,2444,79
1,24,10,2,0,2702,79
1,24,11,2,0,2969,79
1,24,12,2,0,3227,79
1,24,13,2,0,3505,79
1,24,14,2,0,3763,79
1,24,15,2,0,4035,79
1,24,16,2,0,4294,79
1,24,17,2,0,4565,79
1,24,18,2,0,4822,79
1,24,19,2,0,5090,79
1,24,20,2,0,5348,79
1,25,1,2,0,336,82
1,25,2,2,0,606,82
1,25,3,2,0,887,82
1,25,4,2,0,1158,82
1,25,5,2,0,1440,82
1,25,6,2,0,1708,82
1,25,7,2,0,1992,82
1,25,8,2,0,2263,82
1,25,9,2,0,2635,82
1,25,10,2,0,2814,82
1,25,11,2,0,3092,82
1,25,12,2,0,3361,82
1,25,13,2,0,3780,82
1,25,14,2,0,3919,82
1,25,15,2,0,4202,82
1,25,16,2,0,4472,82
1,25,17,2,0,4754,82
1,25,18,2,0,5022,82
1,25,19,2,0,5301,82
1,26,1,2,0,347,85
1,26,2,2,0,646,85
1,26,3,2,0,946,85
1,26,4,2,0,1236,85
1,26,5,2,0,1537,85
1,26,6,2,0,1824,85
1,26,7,2,0,2127,85
1,26,8,2,0,2417,85
1,26,9,2,0,2718,85
1,26,10,2,0,3006,85
1,26,11,2,0,3303,85
1,26,12,2,0,3591,85
1,26,13,2,0,3899,85
1,26,14,2,0,4187,85
1,26,15,2,0,4489,85
1,26,16,2,0,4778,85
1,26,17,2,0,5079,85
1,26,18,2,0,5366,85
1,27,1,2,0,350,88
1,27,2,2,0,650,88
1,27,3,2,0,951,88
1,27,4,2,0,1242,88
1,27,5,2,0,1544,88
1,27,6,2,0,1832,88
1,27,7,2,0,2136,88
1,27,8,2,0,2427,88
1,27,9,2,0,2729,88
1,27,10,2,0,3018,88
1,27,11,2,0,3316,88
1,27,12,2,0,3605,88
1,27,13,2,0,3914,88
1,27,14,2,0,4203,88
1,27,15,2,0,4506,88
1,27,16,2,0,4796,88
1,27,17,2,0,5200,88
1,27,18,2,0,5386,88
1,28,1,2,0,377,91
1,28,2,2,0,702,91
1,28,3,2,0,1028,91
1,28,4,2,0,1344,91
1,28,5,2,0,1671,91
1,28,6,2,0,1984,91
1,28,7,2,0,2313,91
1,28,8,2,0,2629,91
1,28,9,2,0,2956,91
1,28,10,2,0,3270,91
1,28,11,2,0,3593,91
