TermBits,InChannels,ClassCount,WeightBits,DSPCount,LC,FF,LC_dsp0
3,1,15,3,0,634,14,634
3,1,15,3,1,487,196,634
3,1,15,3,3,752,225,634
3,1,15,3,5,1000,254,634
3,1,30,3,0,1210,14,1210
3,1,30,3,1,891,335,1210
3,1,30,3,2,1248,349,1210
3,1,30,3,3,1377,364,1210
3,1,30,3,5,1762,393,1210
3,1,30,3,6,2064,413,1210
3,2,25,3,0,1802,21,1802
3,2,25,3,1,776,298,1802
3,2,25,3,5,1603,356,1802
3,4,16,3,0,2374,35,2374
3,4,16,3,1,538,229,2374
3,4,16,3,2,657,243,2374
3,4,16,3,4,923,272,2374
3,4,16,3,8,1345,336,2374
3,6,16,3,0,3557,49,3557
3,6,16,3,1,573,245,3557
3,6,16,3,2,693,259,3557
3,6,16,3,4,958,288,3557
3,6,16,3,8,1348,353,3557
3,6,19,3,0,4139,49,4139
3,6,19,3,1,667,275,4139
3,11,7,3,0,2970,84,2970
3,11,7,3,1,485,205,2970
3,11,7,3,7,1049,304,2970
3,17,8,3,0,5274,126,5274
3,17,8,3,1,550,268,5274
3,17,8,3,2,624,284,5274
3,17,8,3,4,804,317,5274
3,17,8,3,8,1136,391,5274
3,29,4,3,0,4745,210,4745
3,29,4,3,1,565,304,4745
3,29,4,3,2,623,320,4745
3,29,4,3,4,751,353,4745
3,29,5,3,0,5895,210,5895
3,29,5,3,1,619,319,5895
3,29,5,3,5,868,384,5895
3,32,5,3,0,6477,231,6477
3,32,5,3,1,661,346,6477
3,32,5,3,5,1020,415,6477
3,1,1,4,0,60,14,60
3,1,1,4,1,82,61,60
3,1,12,4,0,666,14,666
3,1,12,4,1,401,171,666
3,1,12,4,2,563,187,666
3,1,12,4,3,598,203,666
3,1,12,4,4,728,220,666
3,1,12,4,6,868,256,666
3,1,24,4,0,1270,14,1270
3,1,24,4,1,715,283,1270
3,1,24,4,2,954,299,1270
3,1,24,4,3,1096,315,1270
3,1,24,4,4,1309,332,1270
3,1,24,4,6,1555,369,1270
3,1,24,4,8,2056,403,1270
3,4,18,4,0,3734,35,3734
3,4,18,4,1,791,272,3734
3,4,18,4,2,1014,289,3734
3,4,18,4,3,1246,306,3734
3,4,18,4,6,1880,365,3734
3,5,9,4,0,2493,42,2493
3,5,9,4,1,486,186,2493
3,5,9,4,3,742,220,2493
3,9,9,4,0,4338,70,4338
3,9,9,4,1,502,226,4338
3,9,9,4,3,762,262,4338
3,11,5,4,0,3106,84,3106
3,11,5,4,1,391,192,3106
3,11,5,4,5,658,272,3106
3,17,6,4,0,5561,126,5561
3,17,6,4,1,538,254,5561
3,17,6,4,2,626,273,5561
3,17,6,4,3,756,293,5561
3,17,6,4,6,1046,359,5561
3,18,5,4,0,4919,133,4919
3,18,5,4,1,504,249,4919
3,18,5,4,5,877,334,4919
3,22,5,4,0,6166,161,6166
3,22,5,4,1,562,277,6166
3,22,5,4,5,923,362,6166
3,30,1,4,0,1882,217,1882
3,30,1,4,1,452,277,1882
3,30,4,4,0,6762,217,6762
3,30,4,4,1,580,318,6762
3,30,4,4,2,654,337,6762
3,30,4,4,4,795,376,6762
3,1,1,5,0,70,14,70
3,1,1,5,1,83,63,70
3,1,20,5,0,1267,14,1267
3,1,20,5,1,617,249,1267
3,1,20,5,2,881,267,1267
3,1,20,5,4,1150,309,1267
3,1,20,5,5,1200,326,1267
3,2,25,5,0,3064,21,3064
3,2,25,5,1,984,328,3064
3,2,25,5,5,2105,412,3064
3,3,13,5,0,2459,28,2459
3,3,13,5,1,601,213,2459
3,5,2,5,0,663,42,663
3,5,2,5,1,180,110,663
3,5,2,5,2,219,130,663
3,5,14,5,0,4298,42,4298
3,5,14,5,1,598,254,4298
3,5,14,5,2,790,274,4298
3,5,14,5,7,1358,383,4298
3,5,16,5,0,4907,42,4907
3,5,16,5,1,648,276,4907
3,5,16,5,2,795,296,4907
3,5,16,5,4,1125,344,4907
3,5,16,5,8,1630,426,4907
3,7,4,5,0,1853,56,1853
3,7,4,5,1,285,150,1853
3,7,4,5,2,354,170,1853
3,7,4,5,4,468,216,1853
3,7,12,5,0,5464,56,5464
3,7,12,5,1,562,246,5464
3,7,12,5,2,761,266,5464
3,7,12,5,3,798,286,5464
3,7,12,5,4,961,314,5464
3,7,12,5,6,1127,354,5464
3,11,5,5,0,3683,84,3683
3,11,5,5,1,430,200,3683
3,11,5,5,5,798,292,3683
3,18,5,5,0,6091,133,6091
3,18,5,5,1,496,257,6091
3,18,5,5,5,821,354,6091
3,25,4,5,0,6687,182,6687
3,25,4,5,1,532,290,6687
3,25,4,5,2,610,312,6687
3,25,4,5,4,762,364,6687
3,1,1,6,0,77,14,77
3,1,1,6,1,88,67,77
3,1,20,6,0,1436,14,1436
3,1,20,6,1,822,272,1436
3,1,20,6,2,1042,293,1436
3,1,20,6,4,1526,341,1436
3,1,20,6,5,1754,361,1436
3,3,20,6,0,4181,28,4181
3,3,20,6,1,758,309,4181
3,3,20,6,2,1081,331,4181
3,3,20,6,4,1402,382,4181
3,3,20,6,5,1471,405,4181
3,9,1,6,0,746,70,746
3,9,1,6,1,212,134,746
3,9,4,6,0,2799,70,2799
3,9,4,6,1,339,178,2799
3,9,4,6,2,426,202,2799
3,9,4,6,4,595,257,2799
3,9,7,6,0,4867,70,4867
3,9,7,6,1,470,220,4867
3,9,7,6,7,1026,374,4867
3,9,8,6,0,5560,70,5560
3,9,8,6,1,495,234,5560
3,9,8,6,2,634,258,5560
3,9,8,6,4,810,314,5560
