InBits,InChannels,PoolMode,LUT4,FF
14,12,1,1061,1033
14,13,1,1145,1117
14,14,1,1228,1201
14,15,1,1313,1285
14,16,1,1397,1369
14,17,1,1481,1453
14,18,1,1565,1537
14,19,1,1649,1621
14,20,1,1732,1705
14,21,1,1816,1789
14,22,1,1901,1873
14,23,1,1984,1957
14,24,1,2069,2041
14,25,1,2153,2125
14,26,1,2237,2209
14,27,1,2321,2293
14,28,1,2405,2377
14,29,1,2489,2461
14,30,1,2572,2545
14,31,1,2656,2629
14,32,1,2741,2713
15,1,1,143,115
15,2,1,233,205
15,3,1,323,295
15,4,1,413,385
15,5,1,503,475
15,6,1,593,565
15,7,1,683,655
15,8,1,773,745
15,9,1,863,835
15,10,1,953,925
15,11,1,1043,1015
15,12,1,1132,1105
15,13,1,1223,1195
15,14,1,1313,1285
15,15,1,1402,1375
15,16,1,1493,1465
15,17,1,1582,1555
15,18,1,1672,1645
15,19,1,1763,1735
15,20,1,1853,1825
15,21,1,1943,1915
15,22,1,2032,2005
15,23,1,2123,2095
15,24,1,2213,2185
15,25,1,2302,2275
15,26,1,2392,2365
15,27,1,2482,2455
15,28,1,2573,2545
15,29,1,2662,2635
15,30,1,2752,2725
15,31,1,2843,2815
15,32,1,2932,2905
16,1,1,149,121
16,2,1,244,217
16,3,1,341,313
16,4,1,436,409
16,5,1,533,505
16,6,1,628,601
16,7,1,724,697
16,8,1,820,793
16,9,1,916,889
16,10,1,1013,985
16,11,1,1109,1081
16,12,1,1204,1177
16,13,1,1301,1273
16,14,1,1397,1369
16,15,1,1492,1465
16,16,1,1588,1561
16,17,1,1685,1657
16,18,1,1780,1753
16,19,1,1876,1849
16,20,1,1972,1945
16,21,1,2069,2041
16,22,1,2165,2137
16,23,1,2260,2233
16,24,1,2357,2329
16,25,1,2453,2425
16,26,1,2549,2521
16,27,1,2645,2617
16,28,1,2740,2713
16,29,1,2836,2809
16,30,1,2933,2905
16,31,1,3029,3001
16,32,1,3125,3097
